url,status,last_modified,hash,exe
https://www.nirsoft.net/utils/acm.zip,200,1093054196.0,f06016105b015a5a3b3e38204cc67cd4e32814cdaaad147cce9ade34313b7bf4,acm.exe
https://www.nirsoft.net/utils/acm-x64.zip,404,,,
https://www.nirsoft.net/utils/addrview.zip,200,1089212978.0,806883045b6b510625d05ae965222b80c451a0b18ce30343ec9607cca10d4017,AddrView.exe
https://www.nirsoft.net/utils/addrview-x64.zip,404,,,
https://www.nirsoft.net/utils/advancedrun.zip,200,1649671229.0,b2c65aa6e71b0f154c5f3a8b884582779d716ff2c03d6cdca9e157f0fe397c9c,AdvancedRun.exe
https://www.nirsoft.net/utils/advancedrun-x64.zip,200,1649671230.0,a05825b22d78807ca5a6fdfcedaf326297d3102756fdaa58e9c0a52aab7091d2,AdvancedRun.exe
https://www.nirsoft.net/utils/allthreadsview.zip,200,1522131850.0,f3c9127174123c44d6cce9e18aa879c6c6333047b971b3e3dce3867c3a0467a0,AllThreadsView.exe
https://www.nirsoft.net/utils/allthreadsview-x64.zip,200,1522131850.0,10ec8f2781aef3f94c73cb1d4f0c6a6d39d6dc394c216a85e0b9e722ca60d6cf,AllThreadsView.exe
https://www.nirsoft.net/utils/alternatestreamview.zip,200,1674737637.0,6a4600134b0b3f641b5b2694315c32db71f11b2d22aaeac027ae55101033d0b1,AlternateStreamView.exe
https://www.nirsoft.net/utils/alternatestreamview-x64.zip,200,1674737638.0,ad1f0edb2202ec1a736d9266b18b241eac5542c350578a3a8cdb4dd8b14ff37d,AlternateStreamView.exe
https://www.nirsoft.net/utils/altstreamdump.zip,200,1329727724.0,d65d237b0c8c8b2dba51d8784090fe3ded92a5c3e841db3354c3dce3fbeaf905,AltStreamDump.exe
https://www.nirsoft.net/utils/altstreamdump-x64.zip,404,,,
https://www.nirsoft.net/utils/appaudioconfig.zip,200,1634475642.0,fce712fc3c4b5ae614330030b0c0501fb61d85e284477e2c9bae7cd48264b2f4,AppAudioConfig.exe
https://www.nirsoft.net/utils/appaudioconfig-x64.zip,200,1634475643.0,8d0408cdcfc324b8c3bb5443d7690f083b16e2f478b75bac2e73a508dbad7c14,AppAudioConfig.exe
https://www.nirsoft.net/utils/appcompatibilityview.zip,200,1645103140.0,e65a94c898de6dd0aa50886ed40cc18558a9f7d8805d78c6b2256ac9ddc7f054,AppCompatibilityView.exe
https://www.nirsoft.net/utils/appcompatibilityview-x64.zip,200,1645103141.0,88a1f7112612333ae24705fcf0aad05247bc76ef02941b6ab78be3435edd9caa,AppCompatibilityView.exe
https://www.nirsoft.net/utils/appcrashview.zip,200,1541927886.0,76eca5db923e938504d525b8b48a64ab4ad375ced896665dbc543960b07c6054,AppCrashView.exe
https://www.nirsoft.net/utils/appcrashview-x64.zip,404,,,
https://www.nirsoft.net/utils/appnetworkcounter.zip,200,1695802126.0,f7d12b8de73915311266f3d89714bbde1d65b2c19e083929b22983b6e3455df7,AppNetworkCounter.exe
https://www.nirsoft.net/utils/appnetworkcounter-x64.zip,200,1695802126.0,f0dda86ddbb5cdab87e47c335cc50966d5a08c47901f8ea2e2c1604e00dd411c,AppNetworkCounter.exe
